genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,thickness,crosssection
ecadGFPnbG4,wL3,58.524878094035344,53.14120109323682,-20.62196908913393,1.1814896219275322,2.7841569442265715,0.16708786471329765,0.393739251030045,0.012903131757320779,0.00037489650634976544,5.301837237661294e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-60.33682297333176,-51.55326041576459,-26.879208879077336,1.5115309807480803,3.0269807260654304,0.2137627612921041,0.428079719584369,0.012424817071949663,0.000749878947467587,0.00010604889776467231,0.1,Across_DV
ecadGFPnbG4,0hAPF,-58.289240440587776,-50.260690566580024,-25.29451581628335,1.4378431016106716,2.963665103108638,0.2033417214862408,0.41912553831480925,0.0124013256256371,0.0003754137082479308,5.3091515770499996e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-56.241657907843795,-48.92844248920477,-23.74336827628018,1.365437262626909,2.8985469394065695,0.1931019895376568,0.4099164392883796,0.01241996364543272,0.00026063895139769575,3.6859913994932325e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-54.19407537509981,-47.557049283241405,-22.226465646821254,1.2944187531396003,2.8309573815690396,0.1830584556080094,0.40035783235151606,0.012488880888134175,0.00030158580298073496,4.265067327945356e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-52.146492842355826,-46.147111220627195,-20.744914373321357,1.2248640573657832,2.760550643371217,0.17322193619900272,0.39040081594733483,0.012609299609106103,0.0003336748709750196,4.718875279559653e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-50.09891030961184,-44.699255341117606,-19.300129310638766,1.156828939660627,2.6872031035896797,0.16360031758137455,0.3800279073947598,0.01277569182685569,0.00033973738792217903,4.804612216447549e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-48.05132777686785,-43.214102979709594,-17.89372925824675,1.0903628392308355,2.610923198207827,0.1542005915147882,0.36924029972200456,0.012977206222831623,0.0003433189505199875,4.8552631604506386e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-46.00374524412387,-41.69225064515724,-16.527436124340078,1.0255289396437077,2.53176309408,0.14503169350502307,0.3580453704363606,0.013199564834475057,0.0003603655682578817,5.096338740425836e-05,0.1,Across_DV
ecadGFPnbG4,0hAPF,-43.95616271137989,-40.13426890374841,-15.202990053183548,0.9624243907081288,2.4497369834038487,0.13610736260980982,0.34644512661766763,0.01342966233131285,0.0003890616481313688,5.5021625938661065e-05,0.1,Across_DV
